"Variable_name","Variable_type","Variable_label"
"aow_person_id","character","Age of Wonder person ID"
"BiBPersonID","character","BiB cohort person ID"
"is_bib","numeric","Participant is in original BiB cohort"
"aow_recruitment_id","character","Age of Wonder year group recruitment ID"
"birth_year","numeric","Year of birth"
"birth_month","numeric","Month of birth"
"recruitment_era","character","Recruitment era (academic year)"
"recruitment_year","numeric","Recruitment year"
"recruitment_month","numeric","Recruitment month"
"age_recruitment_y","numeric","Age at recruitment in years"
"age_recruitment_m","numeric","Age at recruitment in months"
"school_id","character","Pseudo school ID"
"year_group","haven_labelled","Year group at recruitment"
"form_tutor_id","character","Pseudo recruitment form tutor ID"
"gender","haven_labelled","Gender reported by school"
"ethnicity_1","haven_labelled","Ethnicity reported by school - higher level category"
"ethnicity_2","haven_labelled","Ethnicity reported by school - lower level category"
"fsm","haven_labelled","Free school meals"
"sen","haven_labelled","Special educational needs provision"
"LSOA11CD","character","Home LSOA code, 2011 boundaries"
"IMD_2019_decile","integer","Home IMD 2019 decile, national scale"
"IMD_2019_score","numeric","Home IMD 2019 score"
"has_survey_m231","haven_labelled","Has AoW 2024 release survey module 231"
"has_survey_m232","haven_labelled","Has AoW 2024 release survey module 232"
"has_survey_m1","haven_labelled","Has AoW 2023 release survey module 1"
"has_survey_m2","haven_labelled","Has AoW 2023 release survey module 2"
"has_survey_m3","haven_labelled","Has AoW 2023 release survey module 3"
"has_survey_m4","haven_labelled","Has AoW 2023 release survey module 4"
"has_survey","haven_labelled","Has any AoW survey from any release"
"has_bioimp","haven_labelled","Has AoW bioimpedance"
"has_bp","haven_labelled","Has AoW blood pressures"
"has_skinfld","haven_labelled","Has AoW skinfolds"
"has_htwt","haven_labelled","Has AoW height/weight"
"has_measure","haven_labelled","Has any AoW health measure"
"has_data","haven_labelled","Has any AoW data"
"age_survey_y","numeric","Age (years) at survey date"
"age_survey231_m","numeric","Age (months) at survey date"
"survey231_version","haven_labelled","Survey version"
"survey231_mode","haven_labelled","Survey taken online or offline?"
"awb1_2_country_brth","haven_labelled","What is your country of birth?"
"aw1_2_years_lvd_a4","haven_labelled","How many years have you lived in the UK?"
"aw1_2_years_lvd_r4","haven_labelled","How many years have you lived in the UK?"
"awb1_2_ethnicity_r4","haven_labelled","What is your ethnicity?"
"awb1_2_ethnicity_whte","haven_labelled","Ethnicity: White"
"awb1_2_ethnicity_whte_othr","character","Ethnicity: White: other"
"awb1_2_ethnicity_mix","haven_labelled","Ethnicity: Mixed or Multiple ethnic groups"
"awb1_2_ethnicity_mix_othr","character","Ethnicity: Mixed or Multiple ethnic groups: other"
"awb1_2_ethnicity_asn","haven_labelled","Ethnicity: Asian or Asian British"
"awb1_2_ethnicity_asn_othr","character","Ethnicity: Asian or Asian British: other"
"awb1_2_ethnicity_blck","haven_labelled","Ethnicity: Black, Black British, Caribbean or African"
"awb1_2_ethnicity_blck_afrcn","character","Ethnicity: African: specify"
