Curated_variable_name,Curated_variable_type,Curated_variable_label,BiBAgeOfWonder_survey,BiBAgeOfWonder_variable_name,BiBAgeOfWonder_variable_label,Theme
aow_recruitment_id,factor,,recruitment_dr24,aow_recruitment_id,Age of Wonder person ID,id
school_id,factor,,recruitment_dr24,school_id,Pseudo school ID,recruitment
year_group,haven_labelled,Year group at recruitment,recruitment_dr24,year_group,Year group at recruitment,recruitment
form_tutor_id,factor,,recruitment_dr24,form_tutor_id,Pseudo recruitment form tutor ID,recruitment
fsm,haven_labelled,Free school meals,recruitment_dr24,fsm,Free school meals,recruitment
sen,haven_labelled,Special educational needs provision,recruitment_dr24,sen,Special educational needs provision,recruitment
imd_2019_decile,integer,"Home IMD 2019 decile, national scale",recruitment_dr24,imd_2019_decile,"Home IMD 2019 decile, national scale",recruitment
age_y_survey,numeric,Age (years) at survey date,survey_mod231_main_dr24,age_survey_y,Age (years) at survey date,demographics
age_m_survey,numeric,Age (months) at survey date,survey_mod231_main_dr24,age_survey_m,Age (months) at survey date,demographics
survey_mode,haven_labelled,Survey taken online or offline?,survey_mod231_main_dr24,survey_mode,Survey taken online or offline?,demographics
years_in_uk,haven_labelled,How many years have you lived in the UK?,survey_mod231_main_dr24,aw1_2_years_lvd_a4,How many years have you lived in the UK?,demographics
religion,factor,,survey_mod231_main_dr24,awb1_2y_religion_r4,What is your religion?,demographics
sex,haven_labelled,What is your sex? (The biological sex on your birth certificate),survey_mod231_main_dr24,awb1_2_sex,What is your sex? (The biological sex on your birth certificate),demographics
gender,haven_labelled,What is your gender? (How you would describe yourself),survey_mod231_main_dr24,awb1_2_gender_r4,What is your gender? (How you would describe yourself),demographics
disability,haven_labelled,Do you have any physical/mental health conditions/illnesses?,survey_mod231_main_dr24,awb1_2_disability,Do you have any physical/mental health conditions/illnesses?,demographics
disability_time,factor,,survey_mod231_main_dr24,awb1_2_disability_tme_a4,Has your condition lasted/expected to last >=1 year?,demographics
disability_limit,haven_labelled,Does your condition limit your activities?,survey_mod231_main_dr24,awb1_2_disability_impct_a4,Does your condition limit your activities?,demographics
assets_phone,haven_labelled,Possessions: Your own mobile phone,survey_mod231_main_dr24,awb3_1_assets_4,Possessions: Your own mobile phone,socioeconomics
