Variable_name,Variable_type,Variable_label,Variable,% missing
aow_person_id,character,Age of Wonder person ID,aow_person_id,0
BiBPersonID,character,BiB cohort person ID,BiBPersonID,66.98874917
is_bib,numeric,Participant is in original BiB cohort,is_bib,0
aow_recruitment_id,character,Age of Wonder year group recruitment ID,aow_recruitment_id,0
birth_year,numeric,Year of birth,birth_year,0
birth_month,numeric,Month of birth,birth_month,0
recruitment_era,character,Recruitment era (academic year),recruitment_era,0
recruitment_year,numeric,Recruitment year,recruitment_year,0
recruitment_month,numeric,Recruitment month,recruitment_month,0
age_recruitment_y,numeric,Age at recruitment in years,age_recruitment_y,0
age_recruitment_m,numeric,Age at recruitment in months,age_recruitment_m,0
school_id,character,Pseudo school ID,school_id,0
year_group,haven_labelled,Year group at recruitment,year_group,0
form_tutor_id,character,Pseudo recruitment form tutor ID,form_tutor_id,0
gender,haven_labelled,Gender reported by school,gender,0
ethnicity_1,haven_labelled,Ethnicity reported by school - higher level category,ethnicity_1,0
ethnicity_2,haven_labelled,Ethnicity reported by school - lower level category,ethnicity_2,0.066181337
fsm,haven_labelled,Free school meals,fsm,0
sen,haven_labelled,Special educational needs provision,sen,3.467902052
LSOA11CD,character,"Home LSOA code, 2011 boundaries",LSOA11CD,0.066181337
IMD_2019_decile,integer,"Home IMD 2019 decile, national scale",IMD_2019_decile,0.066181337
IMD_2019_score,numeric,Home IMD 2019 score,IMD_2019_score,0.066181337
has_survey_m231,haven_labelled,Has AoW 2024 release survey module 231,has_survey_m231,0
has_survey_m232,haven_labelled,Has AoW 2024 release survey module 232,has_survey_m232,0
has_survey_m1,haven_labelled,Has AoW 2023 release survey module 1,has_survey_m1,0
has_survey_m2,haven_labelled,Has AoW 2023 release survey module 2,has_survey_m2,0
has_survey_m3,haven_labelled,Has AoW 2023 release survey module 3,has_survey_m3,0
has_survey_m4,haven_labelled,Has AoW 2023 release survey module 4,has_survey_m4,0
has_survey,haven_labelled,Has any AoW survey from any release,has_survey,0
has_bioimp,haven_labelled,Has AoW bioimpedance,has_bioimp,0
has_bp,haven_labelled,Has AoW blood pressures,has_bp,0
has_skinfld,haven_labelled,Has AoW skinfolds,has_skinfld,0
has_htwt,haven_labelled,Has AoW height/weight,has_htwt,0
has_measure,haven_labelled,Has any AoW health measure,has_measure,0
has_data,haven_labelled,Has any AoW data,has_data,0
age_survey_y,numeric,Age (years) at survey date,age_survey_y,0
age_survey231_m,numeric,Age (months) at survey date,age_survey231_m,0
survey231_version,haven_labelled,Survey version,survey231_version,0
survey231_mode,haven_labelled,Survey taken online or offline?,survey231_mode,0
awb1_2_country_brth,haven_labelled,What is your country of birth?,awb1_2_country_brth,4.963600265
aw1_2_years_lvd_a4,haven_labelled,How many years have you lived in the UK?,aw1_2_years_lvd_a4,88.02117803
aw1_2_years_lvd_r4,haven_labelled,How many years have you lived in the UK?,aw1_2_years_lvd_r4,100
awb1_2_ethnicity_r4,haven_labelled,What is your ethnicity?,awb1_2_ethnicity_r4,1.204500331
awb1_2_ethnicity_whte,haven_labelled,Ethnicity: White,awb1_2_ethnicity_whte,59.89410986
awb1_2_ethnicity_whte_othr,character,Ethnicity: White: other,awb1_2_ethnicity_whte_othr,0
awb1_2_ethnicity_mix,haven_labelled,Ethnicity: Mixed or Multiple ethnic groups,awb1_2_ethnicity_mix,95.10258107
awb1_2_ethnicity_mix_othr,character,Ethnicity: Mixed or Multiple ethnic groups: other,awb1_2_ethnicity_mix_othr,0
awb1_2_ethnicity_asn,haven_labelled,Ethnicity: Asian or Asian British,awb1_2_ethnicity_asn,56.08206486
awb1_2_ethnicity_asn_othr,character,Ethnicity: Asian or Asian British: other,awb1_2_ethnicity_asn_othr,0
awb1_2_ethnicity_blck,haven_labelled,"Ethnicity: Black, Black British, Caribbean or African",awb1_2_ethnicity_blck,95.84381205
awb1_2_ethnicity_blck_afrcn,character,Ethnicity: African: specify,awb1_2_ethnicity_blck_afrcn,0
awb1_2_ethnicity_whte_crrbn,character,"Ethnicity: Black, Black British, Caribbean: specify",awb1_2_ethnicity_whte_crrbn,0
awb1_2_ethnicity_arb_a4,haven_labelled,Ethnicity: Arab,awb1_2_ethnicity_arb_a4,98.50430179
awb1_2_ethnicity_othr_othr,character,Ethnicity: other,awb1_2_ethnicity_othr_othr,0
awb1_2_ethnicity_arb_r4,haven_labelled,Arab,awb1_2_ethnicity_arb_r4,100
awb1_2_language_hme___1,haven_labelled,Which of these languages is usually spoken at home? (choice=English),awb1_2_language_hme___1,0
awb1_2_language_hme___2,haven_labelled,Which of these languages is usually spoken at home? (choice=Urdu),awb1_2_language_hme___2,0
awb1_2_language_hme___3,haven_labelled,Which of these languages is usually spoken at home? (choice=Punjabi),awb1_2_language_hme___3,0
awb1_2_language_hme___4,haven_labelled,Which of these languages is usually spoken at home? (choice=Gujarati),awb1_2_language_hme___4,0
awb1_2_language_hme___5,haven_labelled,Which of these languages is usually spoken at home? (choice=Bengali),awb1_2_language_hme___5,0
awb1_2_language_hme___6,haven_labelled,Which of these languages is usually spoken at home? (choice=Hindko),awb1_2_language_hme___6,0
awb1_2_language_hme___7,haven_labelled,Which of these languages is usually spoken at home? (choice=Polish),awb1_2_language_hme___7,0
awb1_2_language_hme___8,haven_labelled,Which of these languages is usually spoken at home? (choice=Pashto),awb1_2_language_hme___8,0
awb1_2_language_hme___9,haven_labelled,Which language is spoken at home? Choice = Other,awb1_2_language_hme___9,0
awb1_2_language_hme_othr,character,Which language is spoken at home? Choice = Other,awb1_2_language_hme_othr,0
awb1_2_religion,haven_labelled,Do you consider yourself to have a religion?,awb1_2_religion,0.926538716
awb1_2y_religion_r4,haven_labelled,What is your religion?,awb1_2y_religion_r4,35.0893448
awb1_2y_religion_othr,character,What is your religion? (other),awb1_2y_religion_othr,0
awb1_2_sex,haven_labelled,What is your sex? (The biological sex on your birth certificate),awb1_2_sex,0.357379219
awb1_2_sex_othr,character,What is your sex? (other),awb1_2_sex_othr,0
awb1_2_gender_r4,haven_labelled,What is your gender? (How you would describe yourself),awb1_2_gender_r4,0.569159497
awb1_2_gender_othr_r4,character,What is your gender? (self-describe),awb1_2_gender_othr_r4,0
