"Variable_name","Variable_type"
"aow_person_id","character"
"BiBPersonID","character"
"is_bib","numeric"
"aow_recruitment_id","character"
"birth_year","numeric"
"birth_month","numeric"
"recruitment_era","character"
"recruitment_year","numeric"
"recruitment_month","numeric"
"age_recruitment_y","numeric"
"age_recruitment_m","numeric"
"school_id","character"
"year_group","haven_labelled"
"form_tutor_id","character"
"gender","haven_labelled"
"ethnicity_1","haven_labelled"
"ethnicity_2","haven_labelled"
"fsm","haven_labelled"
"sen","haven_labelled"
"LSOA11CD","character"
"IMD_2019_decile","integer"
"IMD_2019_score","numeric"
"has_survey_m231","haven_labelled"
"has_survey_m232","haven_labelled"
"has_survey_m1","haven_labelled"
"has_survey_m2","haven_labelled"
"has_survey_m3","haven_labelled"
"has_survey_m4","haven_labelled"
"has_survey","haven_labelled"
"has_bioimp","haven_labelled"
"has_bp","haven_labelled"
"has_skinfld","haven_labelled"
"has_htwt","haven_labelled"
"has_measure","haven_labelled"
"has_data","haven_labelled"
