"Variable_name","Variable_type"
"aow_person_id","character"
"BiBPersonID","character"
"is_bib","numeric"
"aow_recruitment_id","character"
"recruitment_era","character"
"age_recruitment_y","numeric"
"age_recruitment_m","numeric"
"gender","haven_labelled"
"ethnicity_1","haven_labelled"
"ethnicity_2","haven_labelled"
"birth_year","numeric"
"birth_month","numeric"
"school_id","character"
"year_group","character"
"form_tutor_id","character"
"age_survey_y","numeric"
"age_survey_m","numeric"
"survey_version","numeric"
"survey_mode","haven_labelled"
"awb1_2_country_brth","haven_labelled"
"aw1_2_years_lvd_a4","haven_labelled"
"awb1_2_ethnicity_r4","haven_labelled"
"awb1_2_ethnicity_whte","haven_labelled"
"awb1_2_ethnicity_whte_othr","character"
"awb1_2_ethnicity_mix","haven_labelled"
"awb1_2_ethnicity_mix_othr","character"
"awb1_2_ethnicity_asn","haven_labelled"
"awb1_2_ethnicity_asn_othr","character"
"awb1_2_ethnicity_blck","haven_labelled"
"awb1_2_ethnicity_blck_afrcn","character"
"awb1_2_ethnicity_whte_crrbn","character"
"awb1_2_ethnicity_arb_a4","haven_labelled"
"awb1_2_ethnicity_othr_othr","character"
"awb1_2_language_hme___1","haven_labelled"
"awb1_2_language_hme___2","haven_labelled"
"awb1_2_language_hme___3","haven_labelled"
"awb1_2_language_hme___4","haven_labelled"
"awb1_2_language_hme___5","haven_labelled"
"awb1_2_language_hme___6","haven_labelled"
"awb1_2_language_hme___7","haven_labelled"
"awb1_2_language_hme___8","haven_labelled"
"awb1_2_language_hme___9","haven_labelled"
"awb1_2_language_hme_othr","character"
"awb1_2_religion","haven_labelled"
"awb1_2y_religion_r4","haven_labelled"
"awb1_2y_religion_othr","character"
"awb1_2_sex","haven_labelled"
"awb1_2_sex_othr","character"
"awb1_2_gender_r4","haven_labelled"
"awb1_2_gender_othr_r4","character"
"awb1_2_disability","haven_labelled"
"awb1_2_disability_tme_a4","haven_labelled"
"awb1_2_disability_impct_a4","haven_labelled"
"awb3_1_assets_1","haven_labelled"
"awb3_1_assets_2","haven_labelled"
"awb3_1_assets_3","haven_labelled"
"awb3_1_assets_4","haven_labelled"
"awb3_1_assets_5","haven_labelled"
"awb3_1_assets_6","haven_labelled"
"awb3_1_assets_7","haven_labelled"
"awb3_1_assets_8","haven_labelled"
"awb3_1_assets_9","haven_labelled"
"awb3_1_compare_frnds","haven_labelled"
"awb3_1_money_wrry","haven_labelled"
"awb3_1_warm_engh_a5","haven_labelled"
"awb3_1_save_mny_a5","haven_labelled"
"awb3_1y_save_mny_a5___1","haven_labelled"
"awb3_1y_save_mny_a5___2","haven_labelled"
"awb3_1y_save_mny_a5___3","haven_labelled"
"awb3_1y_save_mny_a5___4","haven_labelled"
"awb3_1y_save_mny_a5___5","haven_labelled"
"awb3_1y_save_mny_a5___6","haven_labelled"
"awb3_1y_save_mny_othr_a5","character"
"awb3_2_hm_live","haven_labelled"
"awb3_2_homes_1_ppl___1","haven_labelled"
"awb3_2_homes_1_ppl___2","haven_labelled"
"awb3_2_homes_1_ppl___3","haven_labelled"
"awb3_2_homes_1_ppl___4","haven_labelled"
"awb3_2_homes_1_ppl___5","haven_labelled"
"awb3_2_homes_1_ppl___6","haven_labelled"
"awb3_2_homes_1_ppl___7","haven_labelled"
"awb3_2_homes_1_ppl___8","haven_labelled"
"awb3_2_homes_1_ppl___9","haven_labelled"
"awb3_2_homes_1_ppl___10","haven_labelled"
"awb3_2_homes_1_ppl___11","haven_labelled"
"awb3_2_homes_1_ppl___12","haven_labelled"
"awb3_2_homes_1_ppl___13","haven_labelled"
"awb3_2_homes_1_ppl___14","haven_labelled"
"awb3_2_homes_1_ppl___15","haven_labelled"
"awb3_2_homes_1_ppl_othr","character"
"awb3_2_homes_1_mthr_1","numeric"
"awb3_2_homes_1_fthr_2","numeric"
"awb3_2_homes_1_grd_3","numeric"
"awb3_2_homes_1_fstcr_4","numeric"
"awb3_2_homes_1_stpm_5","numeric"
"awb3_2_homes_1_stpf_6","numeric"
"awb3_2_homes_1_mthpt_7","numeric"
"awb3_2_homes_1_fthpt_8","numeric"
"awb3_2_homes_1_sib_9","numeric"
"awb3_2_homes_1_ant_10","numeric"
"awb3_2_homes_1_unc_11","numeric"
"awb3_2_homes_1_gmthr_12","numeric"
"awb3_2_homes_1_gfthr_13","numeric"
"awb3_2_homes_1_cus_14","numeric"
"awb3_2_homes_2_ppl___1","haven_labelled"
"awb3_2_homes_2_ppl___2","haven_labelled"
"awb3_2_homes_2_ppl___3","haven_labelled"
