"Variable_name","Variable_type","Variable_label"
"aow_person_id","character","Age of Wonder person ID"
"BiBPersonID","character","BiB cohort person ID"
"is_bib","numeric","Participant is in original BiB cohort"
"aow_recruitment_id","character","Age of Wonder year group recruitment ID"
"recruitment_era","character","Recruitment era (academic year)"
"age_recruitment_y","numeric","Age at recruitment in years"
"age_recruitment_m","numeric","Age at recruitment in months"
"gender","haven_labelled","Gender reported by school"
"ethnicity_1","haven_labelled","Ethnicity reported by school - higher level category"
"ethnicity_2","haven_labelled","Ethnicity reported by school - lower level category"
"birth_year","numeric","Year of birth"
"birth_month","numeric","Month of birth"
"school_id","character","Pseudo school ID"
"year_group","haven_labelled","Year group at recruitment"
"form_tutor_id","character","Pseudo recruitment form tutor ID"
"age_survey_y","numeric","Age (years) at survey date"
"age_survey_m","numeric","Age (months) at survey date"
"survey_version","haven_labelled","Survey version"
"survey_mode","haven_labelled","Survey taken online or offline?"
"rcad_ga","integer","RCADS-25 General anxiety. Raw score"
"rcad_md","integer","RCADS-25 Major depression. Raw score"
"rcad_total","integer","RCADS-25 Anxiety and depression. Raw score"
"rcad_md_t","numeric","RCADS-25 Major depression (higher = more depressed). Scaled score"
"rcad_ga_t","numeric","RCADS-25 General anxiety (higher = more anxiety). Scaled score"
"rcad_total_t","numeric","RCADS-25 Anxiety and depression. Scaled score"
"rcad_md_cat","haven_labelled","RCADS-25 Major depression category"
"rcad_ga_cat","haven_labelled","RCADS-25 General anxiety category"
"rcad_total_cat","haven_labelled","RCADS-25 Anxiety and depression category"
"sdq_emotion","numeric","Strengths and Difficulties Questionnaire (SDQ): Emotional Problems Score"
"sdq_conduct","numeric","Stengths and Difficulties Questionnaire (SDQ): Conduct Problems Score"
"sdq_hyperact","numeric","Stengths and Difficulties Questionnaire (SDQ): Hyperactivity Score"
"sdq_peer","numeric","Strengths and Difficulties Questionnaire (SDQ): Peer Problems Score"
"sdq_prosoc","numeric","Strengths and Difficulties Questionnaire (SDQ): Prosocial Score"
"sdq_total","numeric","Strengths and Difficulties Questionnaire (SDQ): Total Score"
"sdq_external","numeric","Strengths and Difficulties Questionnaire (SDQ): Externalising Score"
"sdq_internal","numeric","Strengths and Difficulties Questionnaire (SDQ): Internalising Score"
"sdq_emotion_cat","haven_labelled","SDQ: Emotional Problems Score. 4-band classification"
"sdq_conduct_cat","haven_labelled","SDQ: Conduct Problems Score. 4-band classification"
"sdq_hyperact_cat","haven_labelled","SDQ: Hyperactivity Problems Score. 4-band classification"
"sdq_peer_cat","haven_labelled","SDQ: Peer Problems Score. 4-band classification"
"sdq_prosoc_cat","haven_labelled","SDQ: Prosocial Score. 4-band classification"
"sdq_total_cat","haven_labelled","SDQ: Total Score. 4-band classification"
"wellbeing","numeric","Warwick-Edinburgh Mental Wellbeing Scale (higher = greater wellbeing). Raw score"
"swemwbs_total","numeric","Short Warwick-Edinburgh Mental Wellbeing Scale (higher = greater wellbeing). Scaled score"
"swemwbs_cat","haven_labelled","Short Warwick-Edinburgh Mental Wellbeing Scale category"
"loneliness","numeric","UCLA Loneliness Scale (higher = more lonely)"
"emo_inf","numeric","General Help Seeking Qstnnaire Informal Sources (higher = more help seeking)"
"emo_form","numeric","General Help Seeking Qstnnaire Formal Sources (higher = more help seeking)"
"emo_sch","numeric","General Help Seeking Qstnnaire School (higher = more help seeking from school)"
"emo_total","numeric","General Help Seeking Questionnaire (higher = more help seeking)"
"brs_total","numeric","Brief Resilience Scale (higher = more resilient)"
"brs_mean","numeric","Brief Resilience Scale mean"
"brs_cat","haven_labelled","Brief Resilience Scale category"
"addi_inst_exp","numeric","Adolescent Discrimination Distress Index Institutional (higher = more discrim)"
"addi_peer_exp","numeric","Adolescent Discrimination Distress Index Peer (higher = more discrim)"
"addi_total","numeric","Adolescent Discrimination Distress Index total (higher = more discrimination)"
